fueltype,aspiration,doors,body,drive,engineloc,wheelbase,length,width,height,weight,enginetype,cylinders,enginesize,fuelsystem,bore,stroke,compression,horsepower,rpm,citympg,highwaympg,make,lnprice
gas,std,two,convertible,rwd,front,-1.90409641227132,-0.404202777801154,-0.867744872512184,-2.15439909353034,0.144612727992654,dohc,four-or-less,0.413274170688545,mpfi,0.609486649543848,-1.83442943148878,-0.264705856739772,0.445345241487299,-0.244698899730586,-0.879528048764771,-0.748561151188651,alfa-romero,9.5100745254521
gas,std,two,convertible,rwd,front,-1.90409641227132,-0.404202777801154,-0.867744872512184,-2.15439909353034,0.144612727992654,dohc,four-or-less,0.413274170688545,mpfi,0.609486649543848,-1.83442943148878,-0.264705856739772,0.445345241487299,-0.244698899730586,-0.879528048764771,-0.748561151188651,alfa-romero,9.71111565988867
gas,std,two,hatchback,rwd,front,-0.762439259580191,-0.185215907004886,-0.0772338368204524,-0.625029655421328,0.786337575850253,ohcv,five-six,1.27870826554399,mpfi,-2.39123093091095,0.764897129200329,-0.264705856739772,1.87480602947871,-0.244698899730586,-1.25007981749375,-0.922227338264419,alfa-romero,9.71111565988867
gas,std,four,sedan,fwd,front,0.263117165718614,0.307504552286723,0.318021681025413,0.182137548025094,-0.347765246181722,ohc,four-or-less,-0.412822010764378,mpfi,-0.454058822009751,0.53457705420256,0.0008853038686955,0.146155774233284,0.841464583767419,-0.323700395671296,-0.22756258996135,audi,9.54323478724951
gas,std,four,sedan,4wd,front,0.185716680790404,0.307504552286723,0.430951828981376,0.182137548025094,0.788671120751554,ohc,five-six,0.649301651103666,mpfi,-0.454058822009751,0.53457705420256,-0.530297017348239,0.578318338044639,0.841464583767419,-1.43535570185825,-1.61689208656749,audi,9.76709492763057
gas,std,two,sedan,fwd,front,0.263117165718614,0.371375722935636,0.374486755003391,-0.327652264677908,0.0489373870393396,ohc,five-six,0.649301651103666,mpfi,-0.454058822009751,0.53457705420256,-0.397501437044005,0.412101967347964,0.841464583767419,-1.25007981749375,-1.09589352534019,audi,9.63233478203556
gas,std,four,sedan,fwd,front,1.42412443964179,1.7765414772117,3.25420552788041,0.776892329511935,0.835342018777561,ohc,five-six,0.649301651103666,mpfi,-0.454058822009751,0.53457705420256,-0.397501437044005,0.412101967347964,0.841464583767419,-1.25007981749375,-1.09589352534019,audi,9.78188473077688
gas,std,four,wagon,fwd,front,1.42412443964179,1.7765414772117,3.25420552788041,0.776892329511935,1.0920319579206,ohc,five-six,0.649301651103666,mpfi,-0.454058822009751,0.53457705420256,-0.397501437044005,0.412101967347964,0.841464583767419,-1.25007981749375,-1.09589352534019,audi,9.84797484260587
gas,turbo,four,sedan,fwd,front,1.42412443964179,1.7765414772117,3.25420552788041,0.861857298295767,1.40005988489225,ohc,five-six,0.452612084091065,mpfi,-0.681961423056951,0.53457705420256,-0.450619669165698,1.40940019152802,0.841464583767419,-1.62063158622274,-1.96422446071902,audi,10.0805871653489
gas,std,two,sedan,rwd,front,0.534018862967357,0.325753458186413,-0.472489354666318,0.182137548025094,-0.212419641906301,ohc,four-or-less,-0.452159924166898,mpfi,0.723437950067447,-1.43959501720689,-0.317824088861465,0.112912500093949,1.49316267386622,-0.508976280035787,-0.401228777037117,bmw,9.70686421103131
